Pseudomonas syringae pv. tomato str. DC3000 chromosome, complete genome - 1..6397126
5481 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
339..1874	+	511	28867244	dnaA	PSPTO_0001	-	COG0593L	chromosomal replication initiation protein
1913..3016	+	367	28867245	dnaN	PSPTO_0002	-	COG0592L	DNA polymerase III subunit beta
3039..4142	+	367	28867246	recF	PSPTO_0003	-	COG1195L	DNA replication and repair protein RecF
4147..6564	+	805	28867247	gyrB	PSPTO_0004	-	COG0187L	DNA gyrase subunit B
7092..8798	+	568	28867248	-	PSPTO_0005	-	COG0286V	type I restriction-modification system, M subunit
8861..10168	+	435	28867249	-	PSPTO_0006	-	COG0732V	type I restriction-modification system, S subunit, EcoA family
10179..11063	+	294	28867250	-	PSPTO_0007	-	-	hypothetical protein
11067..14366	+	1099	28867251	-	PSPTO_0008	-	COG0610V	HsdR family type I site-specific deoxyribonuclease
14512..15741	-	409	28867252	-	PSPTO_0009	-	-	ISPsy3, transposase
15948..16421	+	157	300781803	-	PSPTO_5633	-	-	hypothetical protein
16743..17453	+	236	28867253	-	PSPTO_0011	-	COG1451R	hypothetical protein
17514..18017	+	167	28867254	-	PSPTO_0012	-	-	hypothetical protein
17992..18561	+	189	28867255	-	PSPTO_0013	-	-	hypothetical protein
18573..18863	-	96	28867256	-	PSPTO_0014	-	-	hypothetical protein
19321..19932	+	203	28867257	-	PSPTO_0015	-	-	hypothetical protein
19968..20435	+	155	28867258	-	PSPTO_0016	-	-	hypothetical protein
20738..23143	-	801	28867259	-	PSPTO_0017	-	COG0553KL	helicase/SNF2 family domain protein
23290..24099	-	269	28867260	-	PSPTO_0018	-	COG1484L	ISPsy4, transposition helper protein
24096..25118	-	340	28867261	-	PSPTO_0019	-	COG4584L	ISPsy4, transposase
25187..25537	-	116	28867262	-	PSPTO_0020	-	-	hypothetical protein
25556..27796	-	746	28867263	-	PSPTO_0021	-	-	hypothetical protein
28478..29323	+	281	28867264	-	PSPTO_0022	-	-	DNA-binding protein
29320..29919	+	199	28867265	-	PSPTO_0023	-	-	hypothetical protein
30850..30987	+	45	28867266	-	PSPTO_0024	-	-	hypothetical protein
31338..31967	+	209	28867267	-	PSPTO_0025	-	COG1011R	haloacid dehalogenase-like family hydrolase
32022..33068	-	348	28867268	-	PSPTO_0026	-	-	hypothetical protein
33254..33976	+	240	28867269	-	PSPTO_0027	-	-	hypothetical protein
33978..35933	+	651	28867270	-	PSPTO_0028	-	-	transposase
35933..36868	+	311	28867271	-	PSPTO_0029	-	-	transposition helper protein
36881..38767	+	628	28867272	-	PSPTO_0030	-	-	hypothetical protein
39345..40082	+	245	28867273	-	PSPTO_0031	-	COG5664	Ser/Thr protein phosphatase family protein
40884..41852	-	322	28867274	-	PSPTO_0032	-	COG1475K	hypothetical protein
41852..42757	-	301	28867275	-	PSPTO_0033	-	COG1475K	ParB family protein
42754..44310	-	518	28867276	-	PSPTO_0034	-	COG1961L	recombinase
45183..46736	-	517	28867277	-	PSPTO_0035	-	COG3436L	ISPsy5, transposase
46754..47113	-	119	28867278	-	PSPTO_0036	-	COG3436L	ISPsy5, Orf1
47448..52358	+	1636	28867279	-	PSPTO_0037	-	COG4889R	helicase domain-containing protein
52403..54493	+	696	28867280	-	PSPTO_0038	-	COG1479S	hypothetical protein
54971..56524	-	517	28867281	-	PSPTO_0039	-	COG3436L	ISPsy5, transposase
56542..56901	-	119	28867282	-	PSPTO_0040	-	COG3436L	ISPsy5, Orf1
56961..57347	+	128	28867283	-	PSPTO_0041	-	-	hypothetical protein
58344..59906	+	520	28867284	-	PSPTO_0043	-	COG2131F	cytidine/deoxycytidylate deaminase family protein
60407..61423	-	338	28867285	hopK1	PSPTO_0044	-	-	type III effector HopK1
61526..61684	+	52	28867286	-	PSPTO_0045	-	-	hypothetical protein
62078..64063	+	661	28867287	-	PSPTO_0046	-	COG3593L	hypothetical protein
64066..65970	+	634	28867288	-	PSPTO_0047	-	COG0210L	UvrD/REP helicase family protein
67445..68611	+	388	28867289	-	PSPTO_0048	-	-	hypothetical protein
68863..69606	+	247	28867290	-	PSPTO_0049	-	COG4422S	hypothetical protein
69623..70954	+	443	28867291	-	PSPTO_0050	-	-	hypothetical protein
71041..71484	+	147	28867292	-	PSPTO_0051	-	COG2948U	hypothetical protein
71711..73480	+	589	28867293	-	PSPTO_0052	-	-	hypothetical protein
73641..75086	-	481	28867294	-	PSPTO_0053	-	COG0415L	hypothetical protein
75073..75684	-	203	28867295	-	PSPTO_0054	-	-	hypothetical protein
75949..76971	+	340	28867296	-	PSPTO_0055	-	COG4584L	ISPsy4, transposase
76968..77777	+	269	28867297	-	PSPTO_0056	-	COG1484L	ISPsy4, transposition helper protein
78120..79010	-	296	28867298	-	PSPTO_0057	-	COG1100R	transposition helper protein
79007..80794	-	595	28867299	-	PSPTO_0058	-	-	transposase
80922..81542	-	206	28867300	-	PSPTO_0059	-	-	hypothetical protein
82500..83363	+	287	28867301	hopY1	PSPTO_0061	-	-	type III effector HopY1
83552..84859	-	435	28867302	-	PSPTO_0062	-	COG2851C	citrate transporter
85159..85557	+	132	28867303	-	PSPTO_0063	-	COG3791S	hypothetical protein
85784..87181	-	465	28867304	-	PSPTO_0064	-	COG1639T	hypothetical protein
87268..89343	-	691	28867305	recG	PSPTO_0065	-	COG1200LK	ATP-dependent DNA helicase RecG
89355..90278	-	307	28867306	-	PSPTO_0066	-	COG0583K	oxidative stress regulatory protein OxyR
90371..91117	-	248	28867307	tonB-1	PSPTO_0067	-	COG0810M	tonB protein
91114..91539	-	141	28867308	exbD-1	PSPTO_0068	-	COG0848U	TonB system transport protein ExbD
91543..92499	-	318	28867309	exbB-1	PSPTO_0069	-	COG0811U	TonB system transport protein ExbB
92710..93558	+	282	28867310	-	PSPTO_0070	-	COG0451MG	hypothetical protein
93607..94344	-	245	28867311	-	PSPTO_0071	-	-	lipoprotein
94399..94779	-	126	28867312	-	PSPTO_0072	-	COG0251J	endoribonuclease L-PSP
94805..96910	-	701	28867313	spoT	PSPTO_0073	-	COG0317TK	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
96971..97234	-	87	28867314	rpoZ	PSPTO_0074	-	COG1758K	DNA-directed RNA polymerase subunit omega
97382..98026	-	214	28867315	gmk	PSPTO_0075	-	COG0194F	guanylate kinase
98040..98903	-	287	28867316	-	PSPTO_0076	-	COG1561S	hypothetical protein
99223..99945	+	240	28867317	rph	PSPTO_0077	-	COG0689J	ribonuclease PH
99962..100333	+	123	28867318	-	PSPTO_0078	-	COG3296S	hypothetical protein
100403..101182	-	259	28867319	-	PSPTO_0079	-	COG0708L	exodeoxyribonuclease III
101265..101906	+	213	28867320	pyrE	PSPTO_0080	-	COG0461F	orotate phosphoribosyltransferase
101917..102549	+	210	28867321	-	PSPTO_0081	-	-	hypothetical protein
102801..103706	-	301	28867322	argB	PSPTO_0082	-	COG0548E	acetylglutamate kinase
103735..105132	-	465	28867323	algC	PSPTO_0083	-	COG1109G	phosphomannomutase
106375..106830	-	151	28867324	dut	PSPTO_0084	-	COG0756F	deoxyuridine 5'triphosphate nucleotidohydrolase
106837..108084	-	415	28867325	coaBC	PSPTO_0085	-	COG0452H	phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase
108181..108855	+	224	28867326	radC	PSPTO_0086	-	COG2003L	DNA repair protein RadC
108910..110496	-	528	28867327	-	PSPTO_0087	-	COG0747E	family 5 extracellular solute-binding protein
110557..110691	-	44	28867328	-	PSPTO_0088	-	-	hypothetical protein
110860..111093	+	77	28867329	rpmB	PSPTO_0089	-	COG0227J	50S ribosomal protein L28
111105..111260	+	51	28867330	rpmG	PSPTO_0090	-	COG0267J	50S ribosomal protein L33
111368..111733	-	121	28867331	-	PSPTO_0091	-	COG3450R	hypothetical protein
111972..113465	+	497	28867332	-	PSPTO_0092	-	COG1012C	aldehyde dehydrogenase family protein
113528..113779	-	83	28867333	-	PSPTO_0093	-	-	hypothetical protein
113892..115040	+	382	28867334	-	PSPTO_0094	-	COG2814G	membrane protein
115037..116665	-	542	28867335	-	PSPTO_0095	-	COG1502I	phospholipase D
116690..118111	-	473	28867336	-	PSPTO_0096	-	COG1167KE	GntR family transcriptional regulator/aminotransferase, class I
118233..118538	+	101	28867337	-	PSPTO_0097	-	COG5457S	hypothetical protein
118544..119857	-	437	28867338	-	PSPTO_0098	-	COG0665E	hypothetical protein
119909..120316	+	135	28867339	-	PSPTO_0099	-	COG0727R	hypothetical protein
120331..120819	-	162	28867340	lrp	PSPTO_0100	-	COG1522K	leucine-responsive regulatory protein
120976..122277	+	433	28867341	dadA	PSPTO_0101	-	COG0665E	D-amino acid dehydrogenase small subunit
122249..122602	+	117	28867342	-	PSPTO_0102	-	COG0251J	endoribonuclease L-PSP family protein
122682..123755	+	357	28867343	dadX	PSPTO_0103	-	COG0787M	alanine racemase
123740..123844	-	34	28867344	-	PSPTO_0104	-	-	hypothetical protein
123831..124430	+	199	28867345	-	PSPTO_0105	-	COG1396K	DNA-binding protein
124455..124778	+	107	28867346	cycB	PSPTO_0106	-	COG3245C	cytochrome c5
124875..126806	+	643	28867347	-	PSPTO_0107	-	COG0427C	hypothetical protein
126885..127703	-	272	28867348	-	PSPTO_0108	-	COG0730R	membrane protein
127696..128949	-	417	28867349	-	PSPTO_0109	-	COG0446R	hypothetical protein
128977..129861	-	294	28867350	-	PSPTO_0110	-	COG0491R	metallo-beta-lactamase superfamily protein
130125..131444	+	439	28867351	-	PSPTO_0111	-	COG3829KT	sigma-54 dependent transcriptional regulator
131808..132377	-	189	28867352	xpt	PSPTO_0112	-	COG0503F	xanthine phosphoribosyltransferase
132432..134441	-	669	28867353	rep	PSPTO_0113	-	COG0210L	ATP-dependent DNA helicase Rep
134647..136311	+	554	28867354	-	PSPTO_0114	-	COG5001T	GGDEF domain/EAL domain protein
